name,code,columns,codelist
幅員3.0m（2.5m）以上5.5m未満_道路密度_上,N04_016,39,N04_fukuin_H16
幅員3.0m（2.5m）以上5.5m未満_道路密度上_右,N04_017,39,N04_fukuin_H16
幅員3.0m（2.5m）以上5.5m未満_道路密度_下,N04_018,39,N04_fukuin_H16
幅員3.0m（2.5m）以上5.5m未満_道路延長_実延長,N04_019,39,N04_fukuin_H16
幅員3.0m（2.5m）以上5.5m未満_道路延長_1k㎡当り,N04_020,39,N04_fukuin_H16
幅員3.0m（2.5m）未満_道路密度_左,N04_021,39,N04_fukuin_H16
幅員3.0m（2.5m）未満_道路密度_上,N04_022,39,N04_fukuin_H16
幅員3.0m（2.5m）未満_道路密度上_右,N04_023,39,N04_fukuin_H16
幅員3.0m（2.5m）未満_道路密度_下,N04_024,39,N04_fukuin_H16
幅員3.0m（2.5m）未満_道路延長_実延長,N04_025,39,N04_fukuin_H16
幅員3.0m（2.5m）未満_道路延長_1k㎡当り,N04_026,39,N04_fukuin_H16
幅員（未調査）_道路密度_左,N04_027,39,N04_fukuin_H16
幅員（未調査）_道路密度_上,N04_028,39,N04_fukuin_H16
幅員（未調査）_道路密度上_右,N04_029,39,N04_fukuin_H16
幅員（未調査）_道路密度_下,N04_030,39,N04_fukuin_H16
幅員（未調査）_道路延長_実延長,N04_031,39,N04_fukuin_H16
幅員（未調査）_道路延長_1k㎡当り,N04_032,39,N04_fukuin_H16
幅員合計_道路密度_左,N04_033,39,N04_fukuin_H16
幅員合計_道路密度_上,N04_034,39,N04_fukuin_H16
幅員合計_道路密度上_右,N04_035,39,N04_fukuin_H16
幅員合計_道路密度_下,N04_036,39,N04_fukuin_H16
幅員合計_道路延長_実延長,N04_037,39,N04_fukuin_H16
幅員合計_道路延長_1k㎡当り,N04_038,39,N04_fukuin_H16
平面直角座標系（１９系区分）,N04_039,39,N04_fukuin_H16
3次メッシュコード,N04_001,56,N04_fukuin_H22
3次メッシュの実面積,N04_002,56,N04_fukuin_H22
幅員25.0m以上 道路密度_左,N04_003,56,N04_fukuin_H22
幅員25.0m以上 道路密度_上,N04_004,56,N04_fukuin_H22
幅員25.0m以上 道路密度_右,N04_005,56,N04_fukuin_H22
幅員25.0m以上 道路密度_下,N04_006,56,N04_fukuin_H22
幅員25.0m以上 道路延長_実延長,N04_007,56,N04_fukuin_H22
幅員25.0m以上 道路延長_1k㎡当り,N04_008,56,N04_fukuin_H22
幅員19.5m以上25.0m未満 道路密度_左,N04_009,56,N04_fukuin_H22
幅員19.5m以上25.0m未満 道路密度_上,N04_010,56,N04_fukuin_H22
幅員19.5m以上25.0m未満 道路密度_右,N04_011,56,N04_fukuin_H22
幅員19.5m以上25.0m未満 道路密度_下,N04_012,56,N04_fukuin_H22
幅員19.5m以上25.0m未満 道路延長_実延長,N04_013,56,N04_fukuin_H22
幅員19.5m以上25.0m未満 道路延長_1k㎡当り,N04_014,56,N04_fukuin_H22
幅員13.0m（11.0m）以上19.5m未満 道路密度_左,N04_015,56,N04_fukuin_H22
幅員13.0m（11.0m）以上19.5m未満 道路密度_上,N04_016,56,N04_fukuin_H22
幅員13.0m（11.0m）以上19.5m未満 道路密度_右,N04_017,56,N04_fukuin_H22
幅員13.0m（11.0m）以上19.5m未満 道路密度_下,N04_018,56,N04_fukuin_H22
幅員13.0m（11.0m）以上19.5m未満 道路延長_実延長,N04_019,56,N04_fukuin_H22
幅員13.0m（11.0m）以上19.5m未満 道路延長_1k㎡当り,N04_020,56,N04_fukuin_H22
幅員13.0m（11.0m）以上で幅員不明 道路密度_左,N04_021,56,N04_fukuin_H22
幅員13.0m（11.0m）以上で幅員不明 道路密度_上,N04_022,56,N04_fukuin_H22
幅員13.0m（11.0m）以上で幅員不明 道路密度_右,N04_023,56,N04_fukuin_H22
幅員13.0m（11.0m）以上で幅員不明 道路密度_下,N04_024,56,N04_fukuin_H22
幅員13.0m（11.0m）以上で幅員不明 道路延長_実延長,N04_025,56,N04_fukuin_H22
幅員13.0m（11.0m）以上で幅員不明 道路延長_1k㎡当り,N04_026,56,N04_fukuin_H22
幅員5.5m以上13.0m（11.0m）未満 道路密度_左,N04_027,56,N04_fukuin_H22
幅員5.5m以上13.0m（11.0m）未満 道路密度_上,N04_028,56,N04_fukuin_H22
幅員5.5m以上13.0m（11.0m）未満 道路密度_右,N04_029,56,N04_fukuin_H22
幅員5.5m以上13.0m（11.0m）未満 道路密度_下,N04_030,56,N04_fukuin_H22
幅員5.5m以上13.0m（11.0m）未満 道路延長_実延長,N04_031,56,N04_fukuin_H22
幅員5.5m以上13.0m（11.0m）未満 道路延長_1k㎡当り,N04_032,56,N04_fukuin_H22
幅員3.0m（2.5m）以上5.5m未満 道路密度_左,N04_033,56,N04_fukuin_H22
幅員3.0m（2.5m）以上5.5m未満 道路密度_上,N04_034,56,N04_fukuin_H22
幅員3.0m（2.5m）以上5.5m未満 道路密度_右,N04_035,56,N04_fukuin_H22
幅員3.0m（2.5m）以上5.5m未満 道路密度_下,N04_036,56,N04_fukuin_H22
幅員3.0m（2.5m）以上5.5m未満 道路延長_実延長,N04_037,56,N04_fukuin_H22
幅員3.0m（2.5m）以上5.5m未満 道路延長_1k㎡当り,N04_038,56,N04_fukuin_H22
幅員3.0m（2.5m）未満 道路密度_左,N04_039,56,N04_fukuin_H22
幅員3.0m（2.5m）未満 道路密度_上,N04_040,56,N04_fukuin_H22
幅員3.0m（2.5m）未満 道路密度_右,N04_041,56,N04_fukuin_H22
幅員3.0m（2.5m）未満 道路密度_下,N04_042,56,N04_fukuin_H22
幅員3.0m（2.5m）未満 道路延長_実延長,N04_043,56,N04_fukuin_H22
幅員3.0m（2.5m）未満 道路延長_1k㎡当り,N04_044,56,N04_fukuin_H22
幅員未調査 道路密度_左,N04_045,56,N04_fukuin_H22
幅員未調査 道路密度_上,N04_046,56,N04_fukuin_H22
幅員未調査 道路密度_右,N04_047,56,N04_fukuin_H22
幅員未調査 道路密度_下,N04_048,56,N04_fukuin_H22
幅員未調査 道路延長_実延長,N04_049,56,N04_fukuin_H22
幅員未調査 道路延長_1k㎡当り,N04_050,56,N04_fukuin_H22
幅員合計 道路密度_左,N04_051,56,N04_fukuin_H22
幅員合計 道路密度_上,N04_052,56,N04_fukuin_H22
幅員合計 道路密度_右,N04_053,56,N04_fukuin_H22
幅員合計 道路密度_下,N04_054,56,N04_fukuin_H22
幅員合計 道路延長_実延長,N04_055,56,N04_fukuin_H22
幅員合計 道路延長_1k㎡当り,N04_056,56,N04_fukuin_H22
