id,code,name,type,codelist_id
A15,A15_006,解除日,時間型（TM_Instant）,NA
A16,A16_001,DIDid,整数型,NA
A16,A16_002,市区町村コード,整数型,NA
A16,A16_003,市区町村名称,文字列型,NA
A16,A16_004,人口集中地区符合,整数型※同一市区町村内に１箇所のみのDIDについては、”1“とする。,NA
A16,A16_005,人口,整数型,NA
A16,A16_006,面積,実数型,NA
A16,A16_007,前回人口,整数型 ※前回の数値が無い場合、“NULL”とする。,NA
A16,A16_008,前回面積,実数型 ※前回の数値が無い場合、“NULL”とする。,NA
A16,A16_009,全域に占める人口集中地区の人口割合,実数型,NA
A16,A16_010,全域に占める人口集中地区の面積割合,実数型,NA
A16,A16_011,国勢調査年度,時間型（TM_Instant）,NA
A17,A17_001,過疎ID,文字列型,NA
A17,A17_002,行政区域コード,コードリスト「行政コード」,NA
A17,A17_003,都道府県名,文字列型,NA
A17,A17_004,支庁・振興局名,文字列型,NA
A17,A17_005,郡・政令都市名,文字列型,NA
A17,A17_006,市区町村名,文字列型,NA
A17,A17_007,原典市区町村名,文字列型,NA
A17,A17_008,旧市町村名,文字列型,NA
A17,A17_009,過疎区分コード,コードリスト「過疎区分コード」,KasoCd
A18,A18_001,半島ID,文字列型,NA
A18,A18_002,行政区域コード,コードリスト「行政コード」,NA
A18,A18_003,都道府県名,文字列型,NA
A18,A18_004,支庁・振興局名,文字列型,NA
A18,A18_005,郡・政令都市名,文字列型,NA
A18,A18_006,市区町村名,文字列型,NA
A18,A18_007,原典市区町村名,文字列型,NA
A18,A18_008,旧市町村名,文字列型,NA
A18,A18_009,指定地域名,文字列型,NA
A18,A18_010,指定日,時間型（TM_Instant）,NA
A18s-a,A18_001,半島振興対策実施地域ID,文字列型,NA
A18s-a,A18_002,行政コード,行政コード,AdminAreaCd
A18s-a,A18_003,都道府県名,文字列型,NA
A18s-a,A18_004,支庁名,文字列型,NA
A18s-a,A18_005,郡・政令市名,文字列型,NA
A18s-a,A18_006,市区町村名,文字列型,NA
A18s-a,A18_007,指定地域名,文字列型,NA
A18s-a,A18_008,指定状況コード,指定状況コード,SpecificAirPortSpecifiedSituationCd
A18s-a,A18_009,調査年度,時間型,NA
A18s-a,A18_010,概要　人口,整数型,NA
A18s-a,A18_011,概要　世帯数,整数型,NA
A18s-a,A18_012,男　国勢調査人口総数,整数型,NA
A18s-a,A18_013,男　年少人口　0-4,整数型,NA
A18s-a,A18_014,男　年少人口　5-9,整数型,NA
A18s-a,A18_015,男　年少人口　10-14,整数型,NA
A18s-a,A18_016,男　年少人口　小計,整数型,NA
A18s-a,A18_017,男　生産年齢人口　15-19,整数型,NA
A18s-a,A18_018,男　生産年齢人口　20-24,整数型,NA
A18s-a,A18_019,男　生産年齢人口　25-29,整数型,NA
A18s-a,A18_020,男　生産年齢人口　30-34,整数型,NA
A18s-a,A18_021,男　生産年齢人口　35-39,整数型,NA
A18s-a,A18_022,男　生産年齢人口　40-44,整数型,NA
A18s-a,A18_023,男　生産年齢人口　45-49,整数型,NA
A18s-a,A18_024,男　生産年齢人口　50-54,整数型,NA
A18s-a,A18_025,男　生産年齢人口　55-59,整数型,NA
A18s-a,A18_026,男　生産年齢人口　60-64,整数型,NA
A18s-a,A18_027,男　生産年齢人口　小計,整数型,NA
A18s-a,A18_028,男　老年人口　65-69,整数型,NA
A18s-a,A18_029,男　老年人口　70-74,整数型,NA
A18s-a,A18_030,男　老年人口　75-79,整数型,NA
A18s-a,A18_031,男　老年人口　80-84,整数型,NA
A18s-a,A18_032,男　老年人口　85歳以上,整数型,NA
A18s-a,A18_033,男　老年人口　小計,整数型,NA
A18s-a,A18_034,男　不詳　,整数型,NA
A18s-a,A18_035,女　国勢調査人口総数　,整数型,NA
A18s-a,A18_036,女　年少人口　0-4,整数型,NA
A18s-a,A18_037,女　年少人口　5-9,整数型,NA
A18s-a,A18_038,女　年少人口　10-14,整数型,NA
A18s-a,A18_039,女　年少人口　小計,整数型,NA
A18s-a,A18_040,女　生産年齢人口　15-19,整数型,NA
A18s-a,A18_041,女　生産年齢人口　20-24,整数型,NA
A18s-a,A18_042,女　生産年齢人口　25-29,整数型,NA
A18s-a,A18_043,女　生産年齢人口　30-34,整数型,NA
A18s-a,A18_044,女　生産年齢人口　35-39,整数型,NA
A18s-a,A18_045,女　生産年齢人口　40-44,整数型,NA
A18s-a,A18_046,女　生産年齢人口　45-49,整数型,NA
A18s-a,A18_047,女　生産年齢人口　50-54,整数型,NA
A18s-a,A18_048,女　生産年齢人口　55-59,整数型,NA
A18s-a,A18_049,女　生産年齢人口　60-64,整数型,NA
A18s-a,A18_050,女　生産年齢人口　小計,整数型,NA
A18s-a,A18_051,女　老年人口　65-69,整数型,NA
A18s-a,A18_052,女　老年人口　70-74,整数型,NA
A18s-a,A18_053,女　老年人口　75-79,整数型,NA
A18s-a,A18_054,女　老年人口　80-84,整数型,NA
A18s-a,A18_055,女　老年人口　85歳以上,整数型,NA
A18s-a,A18_056,女　老年人口　小計,整数型,NA
A18s-a,A18_057,女　不詳　,整数型,NA
A18s-a,A18_058,男女計　国勢調査人口総数　,整数型,NA
A18s-a,A18_059,男女計　年少人口　0-4,整数型,NA
A18s-a,A18_060,男女計　年少人口　5-9,整数型,NA
A18s-a,A18_061,男女計　年少人口　10-14,整数型,NA
A18s-a,A18_062,男女計　年少人口　小計,整数型,NA
A18s-a,A18_063,男女計　生産年齢人口　15-19,整数型,NA
A18s-a,A18_064,男女計　生産年齢人口　20-24,整数型,NA
A18s-a,A18_065,男女計　生産年齢人口　25-29,整数型,NA
A18s-a,A18_066,男女計　生産年齢人口　30-34,整数型,NA
A18s-a,A18_067,男女計　生産年齢人口　35-39,整数型,NA
A18s-a,A18_068,男女計　生産年齢人口　40-44,整数型,NA
A18s-a,A18_069,男女計　生産年齢人口　45-49,整数型,NA
A18s-a,A18_070,男女計　生産年齢人口　50-54,整数型,NA
A18s-a,A18_071,男女計　生産年齢人口　55-59,整数型,NA
A18s-a,A18_072,男女計　生産年齢人口　60-64,整数型,NA
A18s-a,A18_073,男女計　生産年齢人口　小計,整数型,NA
A18s-a,A18_074,男女計　老年人口　65-69,整数型,NA
A18s-a,A18_075,男女計　老年人口　70-74,整数型,NA
A18s-a,A18_076,男女計　老年人口　75-79,整数型,NA
A18s-a,A18_077,男女計　老年人口　80-84,整数型,NA
A18s-a,A18_078,男女計　老年人口　85歳以上,整数型,NA
A18s-a,A18_079,男女計　老年人口　小計,整数型,NA
A18s-a,A18_080,男女計　不詳　,整数型,NA
A18s-a,A18_081,就業者数　就業者総数　,整数型,NA
A18s-a,A18_082,就業者数　第1次　農業,整数型,NA
A18s-a,A18_083,就業者数　第1次　農業、林業,整数型,NA
A18s-a,A18_084,就業者数　第1次　農業、林業（うち農業）,整数型,NA
A18s-a,A18_085,就業者数　第1次　林業,整数型,NA
A18s-a,A18_086,就業者数　第1次　漁業,整数型,NA
A18s-a,A18_087,就業者数　第1次　小計,整数型,NA
A18s-a,A18_088,就業者数　第2次　鉱業,整数型,NA
A18s-a,A18_089,就業者数　第2次　鉱業，採石業，砂利採取業,整数型,NA
A18s-a,A18_090,就業者数　第2次　建設業,整数型,NA
A18s-a,A18_091,就業者数　第2次　製造業,整数型,NA
A18s-a,A18_092,就業者数　第2次　小計,整数型,NA
A18s-a,A18_093,就業者数　第3次　電気・ガス・熱供給・水道業,整数型,NA
A18s-a,A18_094,就業者数　第3次　運輸・通信業,整数型,NA
A18s-a,A18_095,就業者数　第3次　情報・通信業,整数型,NA
A18s-a,A18_096,就業者数　第3次　運輸業,整数型,NA
A18s-a,A18_097,就業者数　第3次　運輸業、郵便業,整数型,NA
A18s-a,A18_098,就業者数　第3次　卸売・小売業・飲食店,整数型,NA
A18s-a,A18_099,就業者数　第3次　卸売・小売業,整数型,NA
A18s-a,A18_100,就業者数　第3次　金融・保険業,整数型,NA
A18s-a,A18_101,就業者数　第3次　不動産業,整数型,NA
A18s-a,A18_102,就業者数　第3次　不動産業、物品賃貸業,整数型,NA
A18s-a,A18_103,就業者数　第3次　学術研究，専門・技術サービス業,整数型,NA
A18s-a,A18_104,就業者数　第3次　飲食店・宿泊業,整数型,NA
A18s-a,A18_105,就業者数　第3次　宿泊業，飲食サービス業　,整数型,NA
A18s-a,A18_106,就業者数　第3次　生活関連サービス業，娯楽業,整数型,NA
A18s-a,A18_107,就業者数　第3次　医療･福祉,整数型,NA
A18s-a,A18_108,就業者数　第3次　教育・学習支援業,整数型,NA
A18s-a,A18_109,就業者数　第3次　複合サービス事業,整数型,NA
A18s-a,A18_110,就業者数　第3次　サービス業,整数型,NA
A18s-a,A18_111,就業者数　第3次　公務,整数型,NA
A18s-a,A18_112,就業者数　第3次　小計,整数型,NA
A18s-a,A18_113,就業者数　分類不能　,整数型,NA
A18s-a,A18_114,調査年度,時間型,NA
A18s-a,A18_115,事業所　全産業,整数型,NA
A18s-a,A18_116,事業所　全産業（S公務を除く）,整数型,NA
A18s-a,A18_117,事業所　農林漁業,整数型,NA
A18s-a,A18_118,事業所　非農林漁業1,整数型,NA
A18s-a,A18_119,事業所　非農林漁業2,整数型,NA
A18s-a,A18_120,事業所　鉱業,整数型,NA
A18s-a,A18_121,事業所　鉱業、採石業、砂利採取業,整数型,NA
A18s-a,A18_122,事業所　建設業,整数型,NA
A18s-a,A18_123,事業所　製造業,整数型,NA
A18s-a,A18_124,事業所　電気・ガス・熱供給・水道業,整数型,NA
A18s-a,A18_125,事業所　運輸・通信業,整数型,NA
A18s-a,A18_126,事業所　情報・通信業,整数型,NA
A18s-a,A18_127,事業所　運輸業,整数型,NA
A18s-a,A18_128,事業所　運輸業、郵便業,整数型,NA
A18s-a,A18_129,事業所　卸売・小売業・飲食業,整数型,NA
A18s-a,A18_130,事業所　卸売・小売業,整数型,NA
A18s-a,A18_131,事業所　金融・保険業,整数型,NA
A18s-a,A18_132,事業所　不動産業,整数型,NA
A18s-a,A18_133,事業所　 不動産業、物品賃貸業,整数型,NA
A18s-a,A18_134,事業所　学術研究、専門・技術サービス業,整数型,NA
A18s-a,A18_135,事業所　飲食店・宿泊業,整数型,NA
A18s-a,A18_136,事業所　宿泊業、飲食サービス業,整数型,NA
A18s-a,A18_137,事業所　生活関連サービス業、娯楽業,整数型,NA
A18s-a,A18_138,事業所　医療･福祉,整数型,NA
A18s-a,A18_139,事業所　教育・学習支援業,整数型,NA
A18s-a,A18_140,事業所　複合サービス事業,整数型,NA
A18s-a,A18_141,事業所　サービス業,整数型,NA
A18s-a,A18_142,事業所　公務,整数型,NA
A18s-a,A18_143,事業所　1～4人,整数型,NA
A18s-a,A18_144,事業所　5～9人,整数型,NA
A18s-a,A18_145,事業所　10～19人,整数型,NA
A18s-a,A18_146,事業所　20～29人,整数型,NA
A18s-a,A18_147,事業所　30人以上,整数型,NA
A18s-a,A18_148,事業所　派遣・下請従業者のみ,整数型,NA
A18s-a,A18_149,事業所　経営組織別事業所数（民営事業所）,整数型,NA
A18s-a,A18_150,事業所　事業所の形態別事業所数（民営事業所）,整数型,NA
A18s-a,A18_151,事業所　うち個人,整数型,NA
A18s-a,A18_152,事業所　うち法人,整数型,NA
A18s-a,A18_153,事業所　うち会社,整数型,NA
A18s-a,A18_154,事業所　店舗・飲食店,整数型,NA
A18s-a,A18_155,事業所　事務所・営業所,整数型,NA
A18s-a,A18_156,事業所　工場・作業所・鉱業所,整数型,NA
A18s-a,A18_157,事業所　輸送センター・配送センター・これらの倉庫,整数型,NA
A18s-a,A18_158,事業所　自家用倉庫・自家用油槽所,整数型,NA
A18s-a,A18_159,事業所　外見上一般の住居と区別しにくい事業所,整数型,NA
A18s-a,A18_160,事業所　その他（学校・病院・寺社・旅館・浴場など）,整数型,NA
A19,A19_001,離島ID,文字列型,NA
A19,A19_002,行政区域コード,コードリスト「行政コード」,NA
A19,A19_003,都道府県名,文字列型,NA
A19,A19_004,支庁・振興局名,文字列型,NA
A19,A19_005,郡・政令都市名,文字列型,NA
A19,A19_006,市区町村名,文字列型,NA
A19,A19_007,原典市区町村名,文字列型,NA
A19,A19_008,指定地域名,文字列型,NA
A19,A19_009,島名,文字列型,NA
A19s,A19_001,離島振興対策実施地域ID,文字列型,NA
A19s,NA,離島振興対策実施地域,NA,NA
A19s,A19_002,行政コード,行政コード,AdminAreaCd
A19s,NA,人口・世帯数,NA,NA
A19s,A19_003,都道府県名,文字列型,NA
A19s,NA,都市基盤1,NA,NA
A19s,A19_004,支庁名,文字列型,NA
A19s,NA,都市基盤2,NA,NA
A19s,A19_005,郡・政令市名,文字列型,NA
A19s,NA,産業,NA,NA
A19s,A19_006,市区町村名,文字列型,NA
A19s,A19_007,指定地域名,文字列型,NA
A19s,A19_008,島嶼名,文字列型,NA
A19s,A19_009,離島区分コード,離島区分コード,RitoCd
A19s,A19_010,指定状況コード,指定状況コード,SpecificAirPortSpecifiedSituationCd
A19s,A19_011,調査年度,時間型,NA
A19s,A19_012,概要　(name),文字列型,NA
A19s,A19_013,概要　指定回次,整数型,NA
A19s,A19_014,概要　郡名,文字列型,NA
A19s,A19_015,概要　人口,整数型,NA
A19s,A19_016,概要　世帯数,整数型,NA
A19s,A19_017,概要　面積,実数型,NA
A19s,A19_018,概要　海岸延長,実数型,NA
A19s,A19_019,概要　備考,文字列型,NA
A19s,A19_020,前年　住民登録人口　男,整数型,NA
A19s,A19_021,前年　住民登録人口　女,整数型,NA
A19s,A19_022,前年　住民登録人口　計,整数型,NA
A19s,A19_023,前年　世帯数　,整数型,NA
A19s,A19_024,人口移動　出生数　,整数型,NA
A19s,A19_025,人口移動　死亡数　,整数型,NA
A19s,A19_026,人口移動　自然増△減　,整数型,NA
A19s,A19_027,人口移動　転入数　,整数型,NA
A19s,A19_028,人口移動　転出数　,整数型,NA
A19s,A19_029,人口移動　社会増△減　,整数型,NA
A19s,A19_030,人口移動　増減計　,整数型,NA
A19s,A19_031,現年　住民登録人口　男,整数型,NA
A19s,A19_032,現年　住民登録人口　女,整数型,NA
A19s,A19_033,現年　住民登録人口　計,整数型,NA
A19s,A19_034,現年　世帯数　,整数型,NA
A19s,A19_035,人口・世帯数・人口動態　備考,文字列型,NA
A19s,A19_036,男　国勢調査人口総数,整数型,NA
A19s,A19_037,男　年少人口　0-4,整数型,NA
A19s,A19_038,男　年少人口　5-9,整数型,NA
A19s,A19_039,男　年少人口　10-14,整数型,NA
A19s,A19_040,男　年少人口　小計,整数型,NA
A19s,A19_041,男　生産年齢人口　15-19,整数型,NA
A19s,A19_042,男　生産年齢人口　20-24,整数型,NA
A19s,A19_043,男　生産年齢人口　25-29,整数型,NA
A19s,A19_044,男　生産年齢人口　30-34,整数型,NA
A19s,A19_045,男　生産年齢人口　35-39,整数型,NA
A19s,A19_046,男　生産年齢人口　40-44,整数型,NA
A19s,A19_047,男　生産年齢人口　45-49,整数型,NA
A19s,A19_048,男　生産年齢人口　50-54,整数型,NA
A19s,A19_049,男　生産年齢人口　55-59,整数型,NA
A19s,A19_050,男　生産年齢人口　60-64,整数型,NA
A19s,A19_051,男　生産年齢人口　小計,整数型,NA
A19s,A19_052,男　老年人口　65-69,整数型,NA
A19s,A19_053,男　老年人口　70-74,整数型,NA
A19s,A19_054,男　老年人口　75-79,整数型,NA
A19s,A19_055,男　老年人口　80-84,整数型,NA
A19s,A19_056,男　老年人口　85歳以上,整数型,NA
A19s,A19_057,男　老年人口　小計,整数型,NA
A19s,A19_058,男　不詳　,整数型,NA
A19s,A19_059,男　生産年齢人口指数　,実数型,NA
A19s,A19_060,男　老齢化率　,実数型,NA
A19s,A19_061,女　国勢調査人口総数　,整数型,NA
A19s,A19_062,女　年少人口　0-4,整数型,NA
A19s,A19_063,女　年少人口　5-9,整数型,NA
A19s,A19_064,女　年少人口　10-14,整数型,NA
A19s,A19_065,女　年少人口　小計,整数型,NA
A19s,A19_066,女　生産年齢人口　15-19,整数型,NA
A19s,A19_067,女　生産年齢人口　20-24,整数型,NA
A19s,A19_068,女　生産年齢人口　25-29,整数型,NA
A19s,A19_069,女　生産年齢人口　30-34,整数型,NA
A19s,A19_070,女　生産年齢人口　35-39,整数型,NA
A19s,A19_071,女　生産年齢人口　40-44,整数型,NA
A19s,A19_072,女　生産年齢人口　45-49,整数型,NA
A19s,A19_073,女　生産年齢人口　50-54,整数型,NA
A19s,A19_074,女　生産年齢人口　55-59,整数型,NA
A19s,A19_075,女　生産年齢人口　60-64,整数型,NA
A19s,A19_076,女　生産年齢人口　小計,整数型,NA
A19s,A19_077,女　老年人口　65-69,整数型,NA
A19s,A19_078,女　老年人口　70-74,整数型,NA
A19s,A19_079,女　老年人口　75-79,整数型,NA
A19s,A19_080,女　老年人口　80-84,整数型,NA
A19s,A19_081,女　老年人口　85歳以上,整数型,NA
A19s,A19_082,女　老年人口　小計,整数型,NA
A19s,A19_083,女　不詳　,整数型,NA
A19s,A19_084,女　生産年齢人口指数　,実数型,NA
A19s,A19_085,女　老齢化率　,実数型,NA
A19s,A19_086,男女計　国勢調査人口総数　,整数型,NA
A19s,A19_087,男女計　年少人口　0-4,整数型,NA
A19s,A19_088,男女計　年少人口　5-9,整数型,NA
A19s,A19_089,男女計　年少人口　10-14,整数型,NA
A19s,A19_090,男女計　年少人口　小計,整数型,NA
A19s,A19_091,男女計　生産年齢人口　15-19,整数型,NA
A19s,A19_092,男女計　生産年齢人口　20-24,整数型,NA
A19s,A19_093,男女計　生産年齢人口　25-29,整数型,NA
A19s,A19_094,男女計　生産年齢人口　30-34,整数型,NA
A19s,A19_095,男女計　生産年齢人口　35-39,整数型,NA
A19s,A19_096,男女計　生産年齢人口　40-44,整数型,NA
A19s,A19_097,男女計　生産年齢人口　45-49,整数型,NA
A19s,A19_098,男女計　生産年齢人口　50-54,整数型,NA
A19s,A19_099,男女計　生産年齢人口　55-59,整数型,NA
A19s,A19_100,男女計　生産年齢人口　60-64,整数型,NA
A19s,A19_101,男女計　生産年齢人口　小計,整数型,NA
A19s,A19_102,男女計　老年人口　65-69,整数型,NA
A19s,A19_103,男女計　老年人口　70-74,整数型,NA
A19s,A19_104,男女計　老年人口　75-79,整数型,NA
A19s,A19_105,男女計　老年人口　80-84,整数型,NA
A19s,A19_106,男女計　老年人口　85歳以上,整数型,NA
A19s,A19_107,男女計　老年人口　小計,整数型,NA
A19s,A19_108,男女計　不詳　,整数型,NA
A19s,A19_109,男女計　生産年齢人口指数　,実数型,NA
A19s,A19_110,男女計　老齢化率　,実数型,NA
A19s,A19_111,年齢別･男女別人口　備考,文字列型,NA
A19s,A19_112,調査年度,時間型,NA
A19s,A19_113,土地利用　総面積　,整数型,NA
A19s,A19_114,土地利用　農用地　農用地合計,整数型,NA
A19s,A19_115,土地利用　農用地　農地,整数型,NA
A19s,A19_116,土地利用　農用地　採草放牧地,整数型,NA
A19s,A19_117,土地利用　森林　,整数型,NA
A19s,A19_118,土地利用　原野　,整数型,NA
A19s,A19_119,土地利用　水面・河川・水路　,整数型,NA
A19s,A19_120,土地利用　道路　,整数型,NA
A19s,A19_121,土地利用　宅地　,整数型,NA
A19s,A19_122,土地利用　その他　,整数型,NA
A19s,A19_123,土地利用　備考　,文字列型,NA
A19s,A19_124,学校　保　保育所数　本所,整数型,NA
A19s,A19_125,学校　保　保育所数　分所,整数型,NA
A19s,A19_126,学校　保　乳幼児数　在所,整数型,NA
A19s,A19_127,学校　保　乳幼児数　通所,整数型,NA
A19s,A19_128,学校　幼　幼稚園数　本園,整数型,NA
A19s,A19_129,学校　幼　幼稚園数　分園,整数型,NA
A19s,A19_130,学校　幼　園児数　在園,整数型,NA
A19s,A19_131,学校　幼　園児数　通園,整数型,NA
A19s,A19_132,学校　小　学校数　本校,整数型,NA
A19s,A19_133,学校　小　学校数　分校,整数型,NA
A19s,A19_134,学校　小　教（職）員数　教員数,整数型,NA
A19s,A19_135,学校　小　教（職）員数　職員数,整数型,NA
A19s,A19_136,学校　小　学級数,整数型,NA
A19s,A19_137,学校　小　児童数　在校,整数型,NA
A19s,A19_138,学校　小　児童数　通学,整数型,NA
A19s,A19_139,学校　中　学校数　本校,整数型,NA
A19s,A19_140,学校　中　学校数　分校,整数型,NA
A19s,A19_141,学校　中　教（職）員数　教員数,整数型,NA
A19s,A19_142,学校　中　教（職）員数　職員数,整数型,NA
A19s,A19_143,学校　中　学級数,整数型,NA
A19s,A19_144,学校　中　生徒数　在校,整数型,NA
A19s,A19_145,学校　中　生徒数　通学,整数型,NA
A19s,A19_146,学校　高　学校数　本校,整数型,NA
A19s,A19_147,学校　高　学校数　分校,整数型,NA
A19s,A19_148,学校　高　教（職）員数　教員数,整数型,NA
A19s,A19_149,学校　高　教（職）員数　職員数,整数型,NA
A19s,A19_150,学校　高　学級数,整数型,NA
A19s,A19_151,学校　高　生徒数　在校,整数型,NA
A19s,A19_152,学校　高　生徒数　通学,整数型,NA
A19s,A19_153,学校　備考,文字列型,NA
A19s,A19_154,卒業者状況　中　卒業生数　　,整数型,NA
A19s,A19_155,卒業者状況　中　就職　総数　,整数型,NA
A19s,A19_156,卒業者状況　中　就職　島内　計,整数型,NA
A19s,A19_157,卒業者状況　中　就職　島内　農林業,整数型,NA
A19s,A19_158,卒業者状況　中　就職　島内　水産業,整数型,NA
A19s,A19_159,卒業者状況　中　就職　島内　2次産業,整数型,NA
A19s,A19_160,卒業者状況　中　就職　島内　3次産業,整数型,NA
A19s,A19_161,卒業者状況　中　就職　島外　計,整数型,NA
A19s,A19_162,卒業者状況　中　就職　島外　1次産業,整数型,NA
A19s,A19_163,卒業者状況　中　就職　島外　2次産業,整数型,NA
A19s,A19_164,卒業者状況　中　就職　島外　3次産業,整数型,NA
A19s,A19_165,卒業者状況　中　進学　総数　,整数型,NA
A19s,A19_166,卒業者状況　中　進学　島内　,整数型,NA
A19s,A19_167,卒業者状況　中　進学　島外　,整数型,NA
A19s,A19_168,卒業者状況　中　進学　進学率　,実数型,NA
A19s,A19_169,卒業者状況　中　未就職・その他　島内　,整数型,NA
A19s,A19_170,卒業者状況　中　未就職・その他　島外　,整数型,NA
A19s,A19_171,卒業者状況　高　卒業生数　　,整数型,NA
A19s,A19_172,卒業者状況　高　就職　総数　,整数型,NA
A19s,A19_173,卒業者状況　高　就職　島内　計,整数型,NA
A19s,A19_174,卒業者状況　高　就職　島内　農林業,整数型,NA
A19s,A19_175,卒業者状況　高　就職　島内　水産業,整数型,NA
A19s,A19_176,卒業者状況　高　就職　島内　2次産業,整数型,NA
A19s,A19_177,卒業者状況　高　就職　島内　3次産業,整数型,NA
A19s,A19_178,卒業者状況　高　就職　島外　計,整数型,NA
A19s,A19_179,卒業者状況　高　就職　島外　1次産業,整数型,NA
A19s,A19_180,卒業者状況　高　就職　島外　2次産業,整数型,NA
A19s,A19_181,卒業者状況　高　就職　島外　3次産業,整数型,NA
A19s,A19_182,卒業者状況　高　進学　総数　,整数型,NA
A19s,A19_183,卒業者状況　高　進学　島内　,整数型,NA
A19s,A19_184,卒業者状況　高　進学　島外　,整数型,NA
A19s,A19_185,卒業者状況　高　進学　進学率　,実数型,NA
A19s,A19_186,卒業者状況　高　未就職・その他　島内　,整数型,NA
A19s,A19_187,卒業者状況　高　未就職・その他　島外　,整数型,NA
A19s,A19_188,公園等　国調人口　　　,整数型,NA
A19s,A19_189,公園等　離島振興関係一括事業　都市公園　都市計画公園　カ所数,整数型,NA
A19s,A19_190,公園等　離島振興関係一括事業　都市公園　都市計画公園　面積,整数型,NA
A19s,A19_191,公園等　離島振興関係一括事業　都市公園　特定地区公園　カ所数,整数型,NA
A19s,A19_192,公園等　離島振興関係一括事業　都市公園　特定地区公園　面積,整数型,NA
A19s,A19_193,公園等　離島振興関係一括事業　都市公園　計　カ所数,整数型,NA
A19s,A19_194,公園等　離島振興関係一括事業　都市公園　計　面積,整数型,NA
A19s,A19_195,公園等　離島振興関係一括事業　港湾環境整備緑地　カ所数　,整数型,NA
A19s,A19_196,公園等　離島振興関係一括事業　港湾環境整備緑地　面積　,整数型,NA
A19s,A19_197,公園等　離島振興関係一括事業　漁港漁村環境整備　カ所数　,整数型,NA
A19s,A19_198,公園等　離島振興関係一括事業　漁港漁村環境整備　面積　,整数型,NA
A19s,A19_199,公園等　離島振興関係一括事業　海岸環境整備　カ所数　,整数型,NA
A19s,A19_200,公園等　離島振興関係一括事業　海岸環境整備　面積　,整数型,NA
A19s,A19_201,公園等　離島振興関係一括事業　農業集落環境整備　カ所数　,整数型,NA
A19s,A19_202,公園等　離島振興関係一括事業　農業集落環境整備　面積　,整数型,NA
A19s,A19_203,公園等　離島振興関係一括事業　コミュニティ・アイランド　カ所数　,整数型,NA
A19s,A19_204,公園等　離島振興関係一括事業　コミュニティ・アイランド　面積　,整数型,NA
